time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),wind_speed_10m (km/h),uv_index (),pressure_msl (hPa),shortwave_radiation (W/m²),cloud_cover (%)
2022-02-02T00:00,24.9,82,21.7,0.00,22.4,0.00,1008.8,0.0,6
2022-02-02T01:00,24.9,81,21.5,0.00,17.4,0.00,1008.1,0.0,6
2022-02-02T02:00,24.7,81,21.3,0.00,13.0,0.00,1007.6,0.0,6
2022-02-02T03:00,24.4,82,21.1,0.00,10.7,0.00,1007.6,0.0,6
2022-02-02T04:00,23.9,84,21.1,0.00,8.9,0.00,1007.9,0.0,5
2022-02-02T05:00,23.5,86,21.1,0.00,5.8,0.00,1008.5,0.0,7
2022-02-02T06:00,23.1,87,20.8,0.00,3.9,0.00,1009.3,0.0,91
2022-02-02T07:00,23.5,84,20.6,0.00,3.6,0.10,1010.0,18.0,77
2022-02-02T08:00,25.6,72,20.2,0.00,5.8,1.15,1010.7,195.0,6
2022-02-02T09:00,28.1,60,19.6,0.00,5.5,3.00,1011.4,435.0,0
2022-02-02T10:00,30.1,52,19.2,0.00,6.9,5.10,1011.5,650.0,0
2022-02-02T11:00,31.1,49,19.1,0.00,11.7,6.80,1011.1,811.0,0
2022-02-02T12:00,31.6,49,19.6,0.00,16.5,7.85,1010.0,903.0,0
2022-02-02T13:00,31.4,50,19.8,0.00,17.9,8.00,1009.0,919.0,0
2022-02-02T14:00,30.5,53,19.8,0.00,19.1,7.35,1007.9,860.0,0
2022-02-02T15:00,30.5,52,19.6,0.00,17.6,5.90,1006.9,729.0,0
2022-02-02T16:00,29.7,56,20.0,0.00,21.7,3.95,1006.7,538.0,0
2022-02-02T17:00,27.9,67,21.2,0.00,21.3,1.90,1006.7,303.0,0
2022-02-02T18:00,26.5,76,22.0,0.00,22.7,0.40,1007.0,71.0,0
2022-02-02T19:00,25.9,79,22.0,0.00,24.2,0.00,1007.3,0.0,0
2022-02-02T20:00,25.7,80,22.0,0.00,24.0,0.00,1007.8,0.0,0
2022-02-02T21:00,25.6,81,22.1,0.00,24.7,0.00,1008.3,0.0,0
2022-02-02T22:00,25.6,80,21.9,0.00,24.1,0.00,1008.4,0.0,10
2022-02-02T23:00,25.5,80,21.8,0.00,19.9,0.00,1008.3,0.0,5
2022-02-03T00:00,25.7,75,21.0,0.00,18.3,0.00,1008.1,0.0,6
2022-02-03T01:00,25.7,72,20.3,0.00,18.4,0.00,1007.7,0.0,10
2022-02-03T02:00,25.1,76,20.6,0.00,14.9,0.00,1007.4,0.0,5
2022-02-03T03:00,24.4,80,20.8,0.00,10.5,0.00,1007.3,0.0,0
2022-02-03T04:00,23.9,83,20.8,0.00,8.1,0.00,1007.8,0.0,0
2022-02-03T05:00,23.6,85,21.0,0.00,7.1,0.00,1008.8,0.0,0
2022-02-03T06:00,23.7,86,21.2,0.00,6.5,0.00,1009.5,0.0,0
2022-02-03T07:00,24.5,82,21.2,0.00,6.9,0.10,1010.4,18.0,0
2022-02-03T08:00,26.4,72,20.9,0.00,9.9,1.15,1011.4,196.0,0
2022-02-03T09:00,28.3,62,20.4,0.00,7.4,3.00,1012.0,436.0,0
2022-02-03T10:00,30.1,54,19.8,0.00,6.5,5.10,1012.1,652.0,0
2022-02-03T11:00,31.7,48,19.3,0.00,8.7,6.80,1011.3,815.0,0
2022-02-03T12:00,32.5,46,19.4,0.00,14.3,7.85,1010.3,912.0,0
2022-02-03T13:00,31.9,48,19.6,0.00,20.4,8.05,1009.4,930.0,5
2022-02-03T14:00,30.6,52,19.7,0.00,20.1,7.40,1008.4,868.0,0
