time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),wind_speed_10m (km/h),uv_index (),pressure_msl (hPa),shortwave_radiation (W/m²),cloud_cover (%)
2022-02-02T00:00,24.4,86,21.9,0.00,17.3,0.00,1009.3,0.0,5
2022-02-02T01:00,24.1,88,22.0,0.00,14.2,0.00,1008.8,0.0,0
2022-02-02T02:00,23.9,89,22.0,0.00,12.2,0.00,1008.1,0.0,5
2022-02-02T03:00,23.5,90,21.8,0.00,8.7,0.00,1007.8,0.0,0
2022-02-02T04:00,23.0,93,21.8,0.00,4.6,0.00,1008.0,0.0,6
2022-02-02T05:00,22.4,95,21.6,0.00,4.5,0.00,1008.4,0.0,6
2022-02-02T06:00,21.8,97,21.3,0.00,7.1,0.00,1009.0,0.0,79
2022-02-02T07:00,22.3,93,21.1,0.00,6.9,0.10,1009.5,17.0,12
2022-02-02T08:00,26.1,71,20.4,0.00,9.2,1.10,1010.0,196.0,16
2022-02-02T09:00,29.8,52,18.9,0.00,9.5,3.00,1010.7,440.0,5
2022-02-02T10:00,32.3,42,17.8,0.00,7.6,5.10,1010.7,657.0,5
2022-02-02T11:00,34.1,37,17.4,0.00,2.6,6.85,1010.1,821.0,5
2022-02-02T12:00,34.5,37,17.7,0.00,9.7,7.90,1009.0,919.0,0
2022-02-02T13:00,33.2,45,19.6,0.00,21.2,8.15,1008.4,938.0,0
2022-02-02T14:00,30.7,55,20.6,0.00,23.0,7.50,1007.5,878.0,0
2022-02-02T15:00,30.9,54,20.5,0.00,18.7,6.05,1006.5,748.0,0
2022-02-02T16:00,30.5,55,20.5,0.00,17.6,4.10,1006.3,558.0,0
2022-02-02T17:00,29.6,58,20.4,0.00,16.9,2.05,1006.6,326.0,0
2022-02-02T18:00,27.8,66,20.8,0.00,15.9,0.45,1006.9,88.0,0
2022-02-02T19:00,26.2,72,20.8,0.00,16.8,0.00,1007.4,0.0,0
